date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:30	30017/30017	---MCZ	200	added ('OK')	text/html	etag:W/%2267d274b6-7541%22	https://nenrikido.neocities.org/	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/index.html	(from )
18:50:30	767/767	---M--	404	error ('Not%20Found')	text/html	etag:%22665e2f4d-2ff%22	https://nenrikido.neocities.org/robots.txt		(from )
18:50:30	960/960	---M--	200	added ('OK')	image/svg+xml	etag:%22665e2e90-3c0%22	https://nenrikido.neocities.org/images/icons/pink-favicon.svg	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/images/icons/pink-favicon.svg	(from https://nenrikido.neocities.org/)
18:50:30	27763/27763	---MCZ	200	added ('OK')	text/xml	etag:W/%2267d274b6-6c73%22	https://nenrikido.neocities.org/index.xml	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/index.xml	(from https://nenrikido.neocities.org/)
18:50:31	24868/24868	---MCZ	200	added ('OK')	text/css	etag:W/%22676df66e-6124%22	https://nenrikido.neocities.org/css/main.min.e82017acf1d47837e34aeae7160cbd8cee87ccf07777ebc9e2e85745f526f166.css	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/css/main.min.e82017acf1d47837e34aeae7160cbd8cee87ccf07777ebc9e2e85745f526f166.css	(from https://nenrikido.neocities.org/)
18:50:31	102217/102217	---M-Z	200	added ('OK')	text/css	etag:%2264cac444-54a3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	(from https://nenrikido.neocities.org/)
18:50:31	2546/2546	---MCZ	200	added ('OK')	application/javascript	etag:W/%2246c74da2fee514fa8ecac07312f71941%22	https://cloud.umami.is/script.js	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/cloud.umami.is/script.js	(from https://nenrikido.neocities.org/)
18:50:31	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20May%202025%2016:50:31%20GMT	https://nenrikido.neocities.org/about	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/about	(from https://nenrikido.neocities.org/)
18:50:32	24015/24015	---MCZ	200	added ('OK')	text/html	etag:W/%22676df66e-5dcf%22	https://nenrikido.neocities.org/about/	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/about/index.html	(from https://nenrikido.neocities.org/)
18:50:32	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20May%202025%2016:50:32%20GMT	https://nenrikido.neocities.org/gallery	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/gallery	(from https://nenrikido.neocities.org/)
18:50:32	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20May%202025%2016:50:32%20GMT	https://nenrikido.neocities.org/commissions	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/commissions	(from https://nenrikido.neocities.org/)
18:50:32	43207/43207	---MCZ	200	added ('OK')	text/html	etag:W/%22676df66e-a8c7%22	https://nenrikido.neocities.org/gallery/	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/gallery/index.html	(from https://nenrikido.neocities.org/)
18:50:33	8593/8593	---MCZ	200	added ('OK')	text/html	etag:W/%2267d274b6-2191%22	https://nenrikido.neocities.org/commissions/	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/commissions/index.html	(from https://nenrikido.neocities.org/)
18:50:33	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20May%202025%2016:50:33%20GMT	https://nenrikido.neocities.org/code	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/code.8.delayed	(from https://nenrikido.neocities.org/)
18:50:33	25493/25493	---MCZ	200	added ('OK')	text/html	etag:W/%22676df66e-6395%22	https://nenrikido.neocities.org/code/	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/code/index.html	(from https://nenrikido.neocities.org/)
18:50:33	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20May%202025%2016:50:33%20GMT	https://nenrikido.neocities.org/blog	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/blog	(from https://nenrikido.neocities.org/)
18:50:33	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20May%202025%2016:50:33%20GMT	https://nenrikido.neocities.org/links	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/links	(from https://nenrikido.neocities.org/)
18:50:34	25590/25590	---MCZ	200	added ('OK')	text/html	etag:W/%22678e0055-63f6%22	https://nenrikido.neocities.org/blog/	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/blog/index.html	(from https://nenrikido.neocities.org/)
18:50:34	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20May%202025%2016:50:34%20GMT	https://nenrikido.neocities.org/microblog	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/microblog	(from https://nenrikido.neocities.org/)
18:50:34	47395/47395	---MCZ	200	added ('OK')	text/html	etag:W/%2267847670-b923%22	https://nenrikido.neocities.org/links/	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/links/index.html	(from https://nenrikido.neocities.org/)
18:50:34	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20May%202025%2016:50:34%20GMT	https://nenrikido.neocities.org/library	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/library	(from https://nenrikido.neocities.org/)
18:50:34	3371/3371	---MCZ	200	added ('OK')	text/html	etag:W/%2266e5383c-d2b%22	https://nenrikido.neocities.org/microblog/	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/microblog/index.html	(from https://nenrikido.neocities.org/)
18:50:34	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20May%202025%2016:50:34%20GMT	https://nenrikido.neocities.org/nexus	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/nexus	(from https://nenrikido.neocities.org/)
18:50:34	82212/82212	---MCZ	200	added ('OK')	text/html	etag:W/%22678e0055-14124%22	https://nenrikido.neocities.org/library/	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/library/index.html	(from https://nenrikido.neocities.org/)
18:50:34	22453/22453	---M--	200	added ('OK')	image/gif	etag:%22665e2eb5-57b5%22	https://nenrikido.neocities.org/images/pixels/strovi_pixel.gif	C:/Users/moham/Downloads/Memecoins/framer/https___nenrikido.neocities.org_/nenrikido.neocities.org/images/pixels/strovi_pixel.gif	(from https://nenrikido.neocities.org/)
